item,itemLabel
http://www.wikidata.org/entity/Q132469,Fermat's Last Theorem
http://www.wikidata.org/entity/Q172298,primary decomposition
http://www.wikidata.org/entity/Q174955,Catalan's conjecture
http://www.wikidata.org/entity/Q180345,rational root theorem
http://www.wikidata.org/entity/Q181054,Euclidean division
http://www.wikidata.org/entity/Q192760,fundamental theorem of algebra
http://www.wikidata.org/entity/Q193910,Euler's theorem
http://www.wikidata.org/entity/Q205170,power set
http://www.wikidata.org/entity/Q185837,intersection
http://www.wikidata.org/entity/Q256303,Lax equivalence theorem
http://www.wikidata.org/entity/Q338057,inverse element
http://www.wikidata.org/entity/Q177646,subset
http://www.wikidata.org/entity/Q1085860,root-finding algorithm
http://www.wikidata.org/entity/Q1228250,line
http://www.wikidata.org/entity/Q217594,class
http://www.wikidata.org/entity/Q1094975,Abouabdillah's theorem
http://www.wikidata.org/entity/Q1783502,rate of convergence
http://www.wikidata.org/entity/Q97598360,semifield
http://www.wikidata.org/entity/Q56291656,Bellman's lost in a forest problem
http://www.wikidata.org/entity/Q6014822,inclusion
http://www.wikidata.org/entity/Q110910247,center region
http://www.wikidata.org/entity/Q33401,Russell's paradox
http://www.wikidata.org/entity/Q93344,trigonometric function
http://www.wikidata.org/entity/Q168817,algebraic number
http://www.wikidata.org/entity/Q646245,algebraic integer
http://www.wikidata.org/entity/Q670235,fundamental theorem of arithmetic
http://www.wikidata.org/entity/Q679903,magma
http://www.wikidata.org/entity/Q865360,Jaccard index
http://www.wikidata.org/entity/Q215071,supremum
http://www.wikidata.org/entity/Q277987,Teichmüller–Tukey lemma
http://www.wikidata.org/entity/Q10906396,vertical angles
http://www.wikidata.org/entity/Q1147936,condition number
http://www.wikidata.org/entity/Q124355768,numerical algorithm
http://www.wikidata.org/entity/Q1043113,Primes in arithmetic progression
http://www.wikidata.org/entity/Q1694565,Vinogradov's theorem
http://www.wikidata.org/entity/Q3297588,prolate spheroid
http://www.wikidata.org/entity/Q5172842,correlation
http://www.wikidata.org/entity/Q4049983,cardinality
http://www.wikidata.org/entity/Q173740,Cartesian product
http://www.wikidata.org/entity/Q196822,zeta function
http://www.wikidata.org/entity/Q632546,Bertrand's postulate
http://www.wikidata.org/entity/Q21550639,geometric concept
http://www.wikidata.org/entity/Q1445491,aleph null
http://www.wikidata.org/entity/Q24262840,numerical method
http://www.wikidata.org/entity/Q1720410,Hjelmslev's theorem
http://www.wikidata.org/entity/Q1964995,set operation
http://www.wikidata.org/entity/Q2635526,moving sofa problem
http://www.wikidata.org/entity/Q47007735,set of integers
http://www.wikidata.org/entity/Q6538608,Li's criterion
http://www.wikidata.org/entity/Q164321,law of cosines
http://www.wikidata.org/entity/Q1322294,Minkowski addition
http://www.wikidata.org/entity/Q1455898,well-posed problem
http://www.wikidata.org/entity/Q207961,object form
http://www.wikidata.org/entity/Q113662469,Geomythiki
http://www.wikidata.org/entity/Q115210807,Landau–Siegel zeros conjecture
http://www.wikidata.org/entity/Q21199,natural number
http://www.wikidata.org/entity/Q185478,countably infinite set
http://www.wikidata.org/entity/Q205140,infinite set
http://www.wikidata.org/entity/Q36161,set
http://www.wikidata.org/entity/Q109556253,numbers that are not the sum of a prime number and a nonzero square
http://www.wikidata.org/entity/Q733081,angle trisection
http://www.wikidata.org/entity/Q1191286,successor ordinal
http://www.wikidata.org/entity/Q1548262,large cardinal
http://www.wikidata.org/entity/Q2298524,cancellation property
http://www.wikidata.org/entity/Q2832673,aleph one
http://www.wikidata.org/entity/Q3535240,tau-function
http://www.wikidata.org/entity/Q7069656,numerical error
