item,itemLabel
http://www.wikidata.org/entity/Q65943,theorem
http://www.wikidata.org/entity/Q69362,small snub icosicosidodecahedron
http://www.wikidata.org/entity/Q103896,compass
http://www.wikidata.org/entity/Q75794,bubble
http://www.wikidata.org/entity/Q83491,Richard's paradox
http://www.wikidata.org/entity/Q102761,least common multiple
http://www.wikidata.org/entity/Q104752,coprime
http://www.wikidata.org/entity/Q110079,chessboard
http://www.wikidata.org/entity/Q110812,cathetus
http://www.wikidata.org/entity/Q119450,Brianchon's theorem
http://www.wikidata.org/entity/Q127244,Gδ set
http://www.wikidata.org/entity/Q130998,equivalence relation
http://www.wikidata.org/entity/Q132469,Fermat's Last Theorem
http://www.wikidata.org/entity/Q133250,sequence
http://www.wikidata.org/entity/Q138865,Soma cube
http://www.wikidata.org/entity/Q149999,differential calculus
http://www.wikidata.org/entity/Q150008,integral calculus
http://www.wikidata.org/entity/Q155208,Hankel transform
http://www.wikidata.org/entity/Q165474,commutative property
http://www.wikidata.org/entity/Q166154,line segment
http://www.wikidata.org/entity/Q166314,chaos theory
http://www.wikidata.org/entity/Q173582,gradient
http://www.wikidata.org/entity/Q174955,Catalan's conjecture
http://www.wikidata.org/entity/Q176623,random variable
http://www.wikidata.org/entity/Q178192,vector product
http://www.wikidata.org/entity/Q180168,Conway chained arrow notation
http://www.wikidata.org/entity/Q180345,rational root theorem
http://www.wikidata.org/entity/Q180953,metric space
http://www.wikidata.org/entity/Q182598,graph of a function
http://www.wikidata.org/entity/Q182714,Heron's formula
http://www.wikidata.org/entity/Q184902,maximum absolute row sum norm
http://www.wikidata.org/entity/Q185813,identity element
http://www.wikidata.org/entity/Q187536,butterfly effect
http://www.wikidata.org/entity/Q188966,contract bridge
http://www.wikidata.org/entity/Q192027,baud
http://www.wikidata.org/entity/Q239346,90
http://www.wikidata.org/entity/Q370502,mapping
http://www.wikidata.org/entity/Q339495,altitude
http://www.wikidata.org/entity/Q721026,163
http://www.wikidata.org/entity/Q560398,OR gate
http://www.wikidata.org/entity/Q79988,24
http://www.wikidata.org/entity/Q1303310,atlas
http://www.wikidata.org/entity/Q1506875,forest
http://www.wikidata.org/entity/Q715456,110
http://www.wikidata.org/entity/Q825176,1729
http://www.wikidata.org/entity/Q1514741,set
http://www.wikidata.org/entity/Q715448,144
http://www.wikidata.org/entity/Q4731385,allegory
http://www.wikidata.org/entity/Q769215,243
http://www.wikidata.org/entity/Q812996,42
http://www.wikidata.org/entity/Q12030090,continuity
http://www.wikidata.org/entity/Q845630,239
http://www.wikidata.org/entity/Q1151643,mathematical puzzle
http://www.wikidata.org/entity/Q1489774,2187
http://www.wikidata.org/entity/Q28777634,set of non-negative integers
http://www.wikidata.org/entity/Q76190,soap bubble
http://www.wikidata.org/entity/Q4457949,combinatorial species
http://www.wikidata.org/entity/Q47007735,set of integers
http://www.wikidata.org/entity/Q26851286,set of complex numbers
http://www.wikidata.org/entity/Q3913,binary numeral system
http://www.wikidata.org/entity/Q9492,probability
http://www.wikidata.org/entity/Q11376,acceleration
http://www.wikidata.org/entity/Q14413,Σ
http://www.wikidata.org/entity/Q210,right angle
http://www.wikidata.org/entity/Q21199,natural number
http://www.wikidata.org/entity/Q23355,8
http://www.wikidata.org/entity/Q26401,vertex
http://www.wikidata.org/entity/Q33057,International Standard Book Number
http://www.wikidata.org/entity/Q38712,18
http://www.wikidata.org/entity/Q40112,ellipse
http://www.wikidata.org/entity/Q42515,cartography
http://www.wikidata.org/entity/Q44649,ideal
http://www.wikidata.org/entity/Q45089,dice
http://www.wikidata.org/entity/Q45513,swastika
http://www.wikidata.org/entity/Q45926,annulus
http://www.wikidata.org/entity/Q50698,algebraic equation
http://www.wikidata.org/entity/Q202,4
http://www.wikidata.org/entity/Q200,2
http://www.wikidata.org/entity/Q203,5
http://www.wikidata.org/entity/Q199,1
http://www.wikidata.org/entity/Q36977,12
http://www.wikidata.org/entity/Q37141,13
http://www.wikidata.org/entity/Q82435,Euler's number
http://www.wikidata.org/entity/Q40118,17
http://www.wikidata.org/entity/Q37136,11
http://www.wikidata.org/entity/Q36161,set
http://www.wikidata.org/entity/Q23488,6
http://www.wikidata.org/entity/Q23350,7
http://www.wikidata.org/entity/Q201,3
http://www.wikidata.org/entity/Q38701,15
http://www.wikidata.org/entity/Q42817,30
http://www.wikidata.org/entity/Q23806,10
http://www.wikidata.org/entity/Q19108,9
http://www.wikidata.org/entity/Q38582,14
http://www.wikidata.org/entity/Q1424012,nerve of a covering
http://www.wikidata.org/entity/Q56457918,vector multiplication
http://www.wikidata.org/entity/Q177898,sieve of Eratosthenes
http://www.wikidata.org/entity/Q2026937,sectrix of Maclaurin
http://www.wikidata.org/entity/Q9361580,trifolium
http://www.wikidata.org/entity/Q47005650,set of rational numbers
http://www.wikidata.org/entity/Q188295,Fermat's little theorem
http://www.wikidata.org/entity/Q188347,harmonic mean
http://www.wikidata.org/entity/Q188758,icosahedron
http://www.wikidata.org/entity/Q188968,perspective
http://www.wikidata.org/entity/Q189136,mean value theorem
http://www.wikidata.org/entity/Q189569,basis
http://www.wikidata.org/entity/Q190046,ellipsoid
http://www.wikidata.org/entity/Q190391,central limit theorem
http://www.wikidata.org/entity/Q190549,functional analysis
http://www.wikidata.org/entity/Q190558,logical negation
http://www.wikidata.org/entity/Q192276,measure
http://www.wikidata.org/entity/Q192535,elongated triangular bipyramid
http://www.wikidata.org/entity/Q192760,fundamental theorem of algebra
http://www.wikidata.org/entity/Q193591,elongated square bipyramid
http://www.wikidata.org/entity/Q193794,identity matrix
http://www.wikidata.org/entity/Q193910,Euler's theorem
http://www.wikidata.org/entity/Q194404,monotonic function
http://www.wikidata.org/entity/Q199006,codomain
http://www.wikidata.org/entity/Q230967,parity
http://www.wikidata.org/entity/Q200042,nonagon
http://www.wikidata.org/entity/Q201321,Navier–Stokes equations
http://www.wikidata.org/entity/Q203425,unit circle
http://www.wikidata.org/entity/Q203586,Poincaré conjecture
http://www.wikidata.org/entity/Q205034,perpendicularity
http://www.wikidata.org/entity/Q205170,power set
http://www.wikidata.org/entity/Q206310,curl
http://www.wikidata.org/entity/Q206925,power series
http://www.wikidata.org/entity/Q207455,chain rule
http://www.wikidata.org/entity/Q209812,linear span
http://www.wikidata.org/entity/Q212130,cyclic permutation
http://www.wikidata.org/entity/Q212803,algebraic topology
http://www.wikidata.org/entity/Q214382,hendecagon
http://www.wikidata.org/entity/Q214604,zero of a function
http://www.wikidata.org/entity/Q220409,braid group
http://www.wikidata.org/entity/Q242767,complement
http://www.wikidata.org/entity/Q226183,empty set
http://www.wikidata.org/entity/Q233858,non-Euclidean geometry
http://www.wikidata.org/entity/Q240559,harmonograph
http://www.wikidata.org/entity/Q241015,Jacobi symbol
http://www.wikidata.org/entity/Q244761,function composition
http://www.wikidata.org/entity/Q249748,spectral radius
http://www.wikidata.org/entity/Q255388,unit fraction
http://www.wikidata.org/entity/Q273188,Cantor set
http://www.wikidata.org/entity/Q281995,Wagstaff prime
http://www.wikidata.org/entity/Q282099,pentahedron
http://www.wikidata.org/entity/Q282723,multiplicative order
http://www.wikidata.org/entity/Q288249,tridiminished rhombicosidodecahedron
http://www.wikidata.org/entity/Q318761,abelian integral
http://www.wikidata.org/entity/Q253829,net
http://www.wikidata.org/entity/Q327069,conditional probability
http://www.wikidata.org/entity/Q174923,optical illusion
http://www.wikidata.org/entity/Q339199,Poincaré map
http://www.wikidata.org/entity/Q376166,cut-elimination
http://www.wikidata.org/entity/Q377047,butterfly theorem
http://www.wikidata.org/entity/Q382504,affine hull
http://www.wikidata.org/entity/Q385989,Bonferroni correction
http://www.wikidata.org/entity/Q389273,strong pseudoprime
http://www.wikidata.org/entity/Q397226,coordination number
http://www.wikidata.org/entity/Q428388,equilateral polygon
http://www.wikidata.org/entity/Q441137,Jeff Paris
http://www.wikidata.org/entity/Q460805,Langton's ant
http://www.wikidata.org/entity/Q467440,sample space
http://www.wikidata.org/entity/Q468881,beta function
http://www.wikidata.org/entity/Q485312,analytic set
http://www.wikidata.org/entity/Q501972,biggest little polygon
http://www.wikidata.org/entity/Q506496,red–black tree
http://www.wikidata.org/entity/Q507187,attractor
http://www.wikidata.org/entity/Q507393,Jacobi triple product
http://www.wikidata.org/entity/Q509160,Brocard's conjecture
