item,itemLabel
http://www.wikidata.org/entity/Q71029,Hermann Weyl
http://www.wikidata.org/entity/Q75377,Tim Maudlin
http://www.wikidata.org/entity/Q76564,Carl Gustav Jacob Jacobi
http://www.wikidata.org/entity/Q77507,Andreas Floer
http://www.wikidata.org/entity/Q78091,Hans Grauert
http://www.wikidata.org/entity/Q83041,Anaxagoras
http://www.wikidata.org/entity/Q102761,least common multiple
http://www.wikidata.org/entity/Q103585,graviton
http://www.wikidata.org/entity/Q109854,Albrecht Dold
http://www.wikidata.org/entity/Q117486,Ernst Specker
http://www.wikidata.org/entity/Q119499,Johann Rafelski
http://www.wikidata.org/entity/Q130998,equivalence relation
http://www.wikidata.org/entity/Q131594,Pauli exclusion principle
http://www.wikidata.org/entity/Q134425,Tao Te Ching
http://www.wikidata.org/entity/Q149999,differential calculus
http://www.wikidata.org/entity/Q150008,integral calculus
http://www.wikidata.org/entity/Q154356,Émile Borel
http://www.wikidata.org/entity/Q155790,Eugene Wigner
http://www.wikidata.org/entity/Q176623,random variable
http://www.wikidata.org/entity/Q178192,vector product
http://www.wikidata.org/entity/Q179168,structuralism
http://www.wikidata.org/entity/Q180953,metric space
http://www.wikidata.org/entity/Q182598,graph of a function
http://www.wikidata.org/entity/Q183509,Ilya Prigogine
http://www.wikidata.org/entity/Q185521,truth value
http://www.wikidata.org/entity/Q185816,analogy
http://www.wikidata.org/entity/Q185813,identity element
http://www.wikidata.org/entity/Q188295,Fermat's little theorem
http://www.wikidata.org/entity/Q188758,icosahedron
http://www.wikidata.org/entity/Q189136,mean value theorem
http://www.wikidata.org/entity/Q190391,central limit theorem
http://www.wikidata.org/entity/Q190549,functional analysis
http://www.wikidata.org/entity/Q192112,Peter Higgs
http://www.wikidata.org/entity/Q193794,identity matrix
http://www.wikidata.org/entity/Q201321,Navier–Stokes equations
http://www.wikidata.org/entity/Q205170,power set
http://www.wikidata.org/entity/Q206310,curl
http://www.wikidata.org/entity/Q206925,power series
http://www.wikidata.org/entity/Q207455,chain rule
http://www.wikidata.org/entity/Q207387,Planck length
http://www.wikidata.org/entity/Q208163,signal processing
http://www.wikidata.org/entity/Q212130,cyclic permutation
http://www.wikidata.org/entity/Q212803,algebraic topology
http://www.wikidata.org/entity/Q214975,EPR paradox
http://www.wikidata.org/entity/Q220002,Critique of Pure Reason
http://www.wikidata.org/entity/Q220409,braid group
http://www.wikidata.org/entity/Q226183,empty set
http://www.wikidata.org/entity/Q232184,M-theory
http://www.wikidata.org/entity/Q250020,Arthur Prior
http://www.wikidata.org/entity/Q254516,Michael Spivak
http://www.wikidata.org/entity/Q263909,Melvin Hochster
http://www.wikidata.org/entity/Q275393,Casimir effect
http://www.wikidata.org/entity/Q278338,pariah group
http://www.wikidata.org/entity/Q285949,naked singularity
http://www.wikidata.org/entity/Q296259,George Pólya
http://www.wikidata.org/entity/Q308495,abductive reasoning
